500		1.11769
600		1.12261
700		1.12737
800		1.13196
900		1.1364
1000		1.1407
1100		1.14486
1200		1.14889
1300		1.15281
1400		1.15661
1500		1.16031
1600		1.16392
1700		1.16745
1800		1.1709
1900		1.17428
2000		1.1776
2100		1.18087
2200		1.1841
2300		1.1873
2400		1.19048
2500		1.19364
2600		1.19679
2700		1.19994
2800		1.20311
2900		1.20629
3000		1.2095
3100		1.21275
3200		1.21604
3300		1.21938
3400		1.22279
3500		1.22626
3600		1.22982
3700		1.23346
3800		1.2372
3900		1.24104
4000		1.245
4100		1.24908
4200		1.25329
4300		1.25764
4400		1.26213
4500		1.26679
4600		1.27161
4700		1.2766
4800		1.28177
4900		1.28714
5000		1.2927
5100		1.29847
5200		1.30446
5300		1.31067
5400		1.31712
5500		1.32381
5600		1.33075
5700		1.33795
5800		1.34542
5900		1.35317
6000		1.3612
6100		1.36953
6200		1.37815
6300		1.38709
6400		1.39635
6500		1.40594
6600		1.41586
6700		1.42613
6800		1.43676
6900		1.44774
7000		1.4591
7100		1.47084
7200		1.48296
7300		1.49549
7400		1.50842
7500		1.52176
7600		1.53553
7700		1.54973
7800		1.56437
7900		1.57945
8000		1.595
8100		1.61101
8200		1.6275
8300		1.64447
8400		1.66193
8500		1.67989
8600		1.69836
8700		1.71735
8800		1.73686
8900		1.75691
9000		1.7775
9100		1.79864
9200		1.82035
9300		1.84262
9400		1.86547
9500		1.88891
9600		1.91295
9700		1.93758
9800		1.96283
9900		1.9887
