#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.1
#   (GeV)    (pb)         (pb)        (pb)        (pb)        (pb)        (pb)
   Mass      q*       Axigluon    E6Diquark      Z'          W'       RSGraviton
  6600.0  0.2770E-03  0.2262E-03  0.1258E-02  0.6668E-05  0.6218E-05  0.3118E-05
  6700.0  0.2225E-03  0.1777E-03  0.1030E-02  0.5232E-05  0.4714E-05  0.2440E-05
  6800.0  0.1786E-03  0.1392E-03  0.8416E-03  0.4094E-05  0.3565E-05  0.1905E-05
  6900.0  0.1432E-03  0.1087E-03  0.6858E-03  0.3192E-05  0.2688E-05  0.1482E-05
  7000.0  0.1147E-03  0.8461E-04  0.5574E-03  0.2481E-05  0.2022E-05  0.1150E-05
  7100.0  0.9181E-04  0.6575E-04  0.4518E-03  0.1922E-05  0.1518E-05  0.8890E-06
  7200.0  0.7342E-04  0.5091E-04  0.3651E-03  0.1484E-05  0.1137E-05  0.6851E-06
  7300.0  0.5865E-04  0.3928E-04  0.2942E-03  0.1141E-05  0.8496E-06  0.5261E-06
  7400.0  0.4682E-04  0.3020E-04  0.2364E-03  0.8745E-06  0.6340E-06  0.4027E-06
  7500.0  0.3734E-04  0.2313E-04  0.1893E-03  0.6676E-06  0.4725E-06  0.3070E-06
  7600.0  0.2975E-04  0.1761E-04  0.1510E-03  0.5074E-06  0.3514E-06  0.2331E-06
  7700.0  0.2368E-04  0.1336E-04  0.1201E-03  0.3843E-06  0.2614E-06  0.1764E-06
  7800.0  0.1883E-04  0.1010E-04  0.9515E-04  0.2898E-06  0.1943E-06  0.1329E-06
  7900.0  0.1497E-04  0.7598E-05  0.7509E-04  0.2176E-06  0.1443E-06  0.9972E-07
  8000.0  0.1188E-04  0.5695E-05  0.5903E-04  0.1628E-06  0.1073E-06  0.7453E-07
  8100.0  0.9432E-05  0.4250E-05  0.4621E-04  0.1212E-06  0.7979E-07  0.5548E-07
  8200.0  0.7480E-05  0.3160E-05  0.3602E-04  0.8992E-07  0.5941E-07  0.4113E-07
  8300.0  0.5930E-05  0.2339E-05  0.2795E-04  0.6642E-07  0.4428E-07  0.3037E-07
  8400.0  0.4699E-05  0.1725E-05  0.2158E-04  0.4886E-07  0.3304E-07  0.2233E-07
  8500.0  0.3722E-05  0.1267E-05  0.1658E-04  0.3581E-07  0.2471E-07  0.1636E-07
  8600.0  0.2948E-05  0.9269E-06  0.1268E-04  0.2613E-07  0.1849E-07  0.1193E-07
  8700.0  0.2335E-05  0.6761E-06  0.9639E-05  0.1902E-07  0.1387E-07  0.8680E-08
  8800.0  0.1849E-05  0.4914E-06  0.7287E-05  0.1379E-07  0.1042E-07  0.6290E-08
  8900.0  0.1465E-05  0.3559E-06  0.5475E-05  0.9959E-08  0.7832E-08  0.4541E-08
  9000.0  0.1161E-05  0.2572E-06  0.4088E-05  0.7181E-08  0.5897E-08  0.3271E-08
