2700	0.234656	0.310166	0.266783	0.231443	0.210190	0.194741	
2800	0.288036	0.314226	0.270490	0.232681	0.210687	0.194334	
2900	0.309283	0.316874	0.273205	0.234156	0.212160	0.199259	
3000	0.316345	0.319346	0.276419	0.235394	0.212657	0.200300	
3100	0.322874	0.327111	0.286798	0.241327	0.216614	0.203269	
3200	0.323934	0.336644	0.298166	0.247012	0.219829	0.205743	
3300	0.319344	0.351473	0.305927	0.254915	0.224764	0.209688	
3400	0.339116	0.374071	0.318461	0.269250	0.231933	0.213892	
3500	0.381134	0.400430	0.330996	0.282349	0.239348	0.218095	
3600	0.422806	0.417176	0.347234	0.298412	0.246763	0.223287	
3700	0.453837	0.437910	0.377246	0.311752	0.260104	0.230200	
3800	0.498598	0.466057	0.404821	0.324992	0.272215	0.237122	
3900	0.532216	0.501773	0.421298	0.344765	0.300454	0.249480	
4000	0.602906	0.537719	0.446149	0.382721	0.312635	0.263319	
4100	0.615363	0.606710	0.481433	0.404269	0.326938	0.286558	
4200	0.652244	0.635133	0.514915	0.425140	0.349709	0.305403	
4300	0.682679	0.691331	0.565354	0.452463	0.389251	0.319877	
4400	0.706477	0.808566	0.625057	0.499007	0.411000	0.337883	
4500	0.955235	0.878485	0.659479	0.536820	0.437083	0.372831	
4600	1.036505	1.034760	0.719412	0.598269	0.466878	0.404406	
4700	2.500000	2.500000	0.855237	0.622777	0.508061	0.425002	
4800	2.500000	2.500000	0.951226	0.657470	0.547266	0.454933	
4900	2.500000	2.500000	1.075262	0.714723	0.592650	0.496945	
5000	2.500000	2.500000	2.500000	0.855807	0.621633	0.526374	
